Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
30365013,"Penric and the Shaman (Penric and Desdemona, #2)",Lois McMaster Bujold,"Bujold, Lois McMaster",,,,4,4.24,"Spectrum Literary Agency, Inc.",ebook,160,2016,2016,10/06/2017,10/06/2017,,,read,,,,2,,,0,,,,,
25791216,"Penric's Demon (Penric and Desdemona, #1)",Lois McMaster Bujold,"Bujold, Lois McMaster",,,,4,4.2,,Kindle Edition,109,2015,2015,10/06/2017,10/06/2017,,,read,,,,1,,,0,,,,,
6583566,"The Hallowed Hunt (Chalion, #3)",Lois McMaster Bujold,"Bujold, Lois McMaster",,,,4,3.83,HarperCollins e-books,Kindle Edition,448,2009,2005,08/06/2017,08/06/2017,,,read,,,,1,,,0,,,,,
33837269,"A Conjuring of Light (Shades of Magic, #3)",V.E. Schwab,"Schwab, V.E.",,,,4,4.4,Titan Books,Kindle Edition,666,2017,2017,05/04/2017,07/07/2016,,,read,,,,1,,,0,,,,,
11307625,"Revelation Space (Revelation Space, #1)",Alastair Reynolds,"Reynolds, Alastair",,,,4,3.97,Gollancz,Kindle Edition,596,2009,2000,31/05/2017,31/05/2017,,,read,,,,1,,,0,,,,,
9300768,"The Heroes (First Law World, #5)",Joe Abercrombie,"Abercrombie, Joe",,0316123358,9780316123358,4,4.27,Orbit,ebook,581,2011,2011,27/04/2017,27/04/2017,,,read,,,,1,,,0,,,,,
2315892,Best Served Cold,Joe Abercrombie,"Abercrombie, Joe",,0575082453,9780575082458,4,4.17,Gollancz,Hardcover,534,2009,2009,16/04/2017,16/04/2017,,,read,,,,1,,,0,,,,,
29939230,"A Conjuring of Light (Shades of Magic, #3)",V.E. Schwab,"Schwab, V.E.",,0765387468,9780765387462,4,4.4,Tor Books,Hardcover,624,2017,2017,05/04/2017,05/04/2017,,,read,,,,1,,,0,,,,,
30078567,The Collapsing Empire (The Interdependency #1),John Scalzi,"Scalzi, John",,0765388898,9780765388896,4,4.1,Tor Books,ebook,336,2017,2017,30/10/2016,30/10/2016,,,read,,,,1,,,0,,,,,
10793800,"A Pitiless Rain (The Chronicles of the Black Company, #10)",Glen Cook,"Cook, Glen",,,,0,4.3,,Hardcover,,,,,02/04/2017,to-read,to-read (#11),to-read,,,,0,,,0,,,,,
